Aisle,Level,Position,Location,Description
02,01,01,02 01 01,Stockroom Floor - Aisle 02 Level 01 Position 01
02,01,02,02 01 02,Stockroom Floor - Aisle 02 Level 01 Position 02
02,01,03,02 01 03,Stockroom Floor - Aisle 02 Level 01 Position 03
02,01,04,02 01 04,Stockroom Floor - Aisle 02 Level 01 Position 04
02,01,05,02 01 05,Stockroom Floor - Aisle 02 Level 01 Position 05
02,01,06,02 01 06,Stockroom Floor - Aisle 02 Level 01 Position 06
02,01,07,02 01 07,Stockroom Floor - Aisle 02 Level 01 Position 07
02,01,08,02 01 08,Stockroom Floor - Aisle 02 Level 01 Position 08
02,01,09,02 01 09,Stockroom Floor - Aisle 02 Level 01 Position 09
02,01,10,02 01 10,Stockroom Floor - Aisle 02 Level 01 Position 10
02,01,11,02 01 11,Stockroom Floor - Aisle 02 Level 01 Position 11
02,01,12,02 01 12,Stockroom Floor - Aisle 02 Level 01 Position 12
02,01,13,02 01 13,Stockroom Floor - Aisle 02 Level 01 Position 13
02,01,14,02 01 14,Stockroom Floor - Aisle 02 Level 01 Position 14
02,01,15,02 01 15,Stockroom Floor - Aisle 02 Level 01 Position 15
02,01,16,02 01 16,Stockroom Floor - Aisle 02 Level 01 Position 16
02,01,17,02 01 17,Stockroom Floor - Aisle 02 Level 01 Position 17
02,01,18,02 01 18,Stockroom Floor - Aisle 02 Level 01 Position 18
02,01,19,02 01 19,Stockroom Floor - Aisle 02 Level 01 Position 19
02,01,20,02 01 20,Stockroom Floor - Aisle 02 Level 01 Position 20
02,01,21,02 01 21,Stockroom Floor - Aisle 02 Level 01 Position 21
02,01,22,02 01 22,Stockroom Floor - Aisle 02 Level 01 Position 22
02,01,23,02 01 23,Stockroom Floor - Aisle 02 Level 01 Position 23
02,01,24,02 01 24,Stockroom Floor - Aisle 02 Level 01 Position 24
02,02,01,02 02 01,Stockroom Floor - Aisle 02 Level 02 Position 01
02,02,02,02 02 02,Stockroom Floor - Aisle 02 Level 02 Position 02
02,02,03,02 02 03,Stockroom Floor - Aisle 02 Level 02 Position 03
02,02,04,02 02 04,Stockroom Floor - Aisle 02 Level 02 Position 04
02,02,05,02 02 05,Stockroom Floor - Aisle 02 Level 02 Position 05
02,02,06,02 02 06,Stockroom Floor - Aisle 02 Level 02 Position 06
02,02,07,02 02 07,Stockroom Floor - Aisle 02 Level 02 Position 07
02,02,08,02 02 08,Stockroom Floor - Aisle 02 Level 02 Position 08
02,02,09,02 02 09,Stockroom Floor - Aisle 02 Level 02 Position 09
02,02,10,02 02 10,Stockroom Floor - Aisle 02 Level 02 Position 10
02,02,11,02 02 11,Stockroom Floor - Aisle 02 Level 02 Position 11
02,02,12,02 02 12,Stockroom Floor - Aisle 02 Level 02 Position 12
02,02,13,02 02 13,Stockroom Floor - Aisle 02 Level 02 Position 13
02,02,14,02 02 14,Stockroom Floor - Aisle 02 Level 02 Position 14
02,02,15,02 02 15,Stockroom Floor - Aisle 02 Level 02 Position 15
02,02,16,02 02 16,Stockroom Floor - Aisle 02 Level 02 Position 16
02,02,17,02 02 17,Stockroom Floor - Aisle 02 Level 02 Position 17
02,02,18,02 02 18,Stockroom Floor - Aisle 02 Level 02 Position 18
02,02,19,02 02 19,Stockroom Floor - Aisle 02 Level 02 Position 19
02,02,20,02 02 20,Stockroom Floor - Aisle 02 Level 02 Position 20
02,02,21,02 02 21,Stockroom Floor - Aisle 02 Level 02 Position 21
02,02,22,02 02 22,Stockroom Floor - Aisle 02 Level 02 Position 22
02,02,23,02 02 23,Stockroom Floor - Aisle 02 Level 02 Position 23
02,02,24,02 02 24,Stockroom Floor - Aisle 02 Level 02 Position 24
02,03,01,02 03 01,Stockroom Floor - Aisle 02 Level 03 Position 01
02,03,02,02 03 02,Stockroom Floor - Aisle 02 Level 03 Position 02
02,03,03,02 03 03,Stockroom Floor - Aisle 02 Level 03 Position 03
02,03,04,02 03 04,Stockroom Floor - Aisle 02 Level 03 Position 04
02,03,05,02 03 05,Stockroom Floor - Aisle 02 Level 03 Position 05
02,03,06,02 03 06,Stockroom Floor - Aisle 02 Level 03 Position 06
02,03,07,02 03 07,Stockroom Floor - Aisle 02 Level 03 Position 07
02,03,08,02 03 08,Stockroom Floor - Aisle 02 Level 03 Position 08
02,03,09,02 03 09,Stockroom Floor - Aisle 02 Level 03 Position 09
02,03,10,02 03 10,Stockroom Floor - Aisle 02 Level 03 Position 10
02,03,11,02 03 11,Stockroom Floor - Aisle 02 Level 03 Position 11
02,03,12,02 03 12,Stockroom Floor - Aisle 02 Level 03 Position 12
02,03,13,02 03 13,Stockroom Floor - Aisle 02 Level 03 Position 13
02,03,14,02 03 14,Stockroom Floor - Aisle 02 Level 03 Position 14
