Aisle,Level,Position,Location,Description
15,01,01,15 01 01,Stockroom Floor - Aisle 15 Level 01 Position 01
15,01,02,15 01 02,Stockroom Floor - Aisle 15 Level 01 Position 02
15,01,03,15 01 03,Stockroom Floor - Aisle 15 Level 01 Position 03
15,01,04,15 01 04,Stockroom Floor - Aisle 15 Level 01 Position 04
15,01,05,15 01 05,Stockroom Floor - Aisle 15 Level 01 Position 05
15,01,06,15 01 06,Stockroom Floor - Aisle 15 Level 01 Position 06
15,01,07,15 01 07,Stockroom Floor - Aisle 15 Level 01 Position 07
15,01,08,15 01 08,Stockroom Floor - Aisle 15 Level 01 Position 08
15,01,09,15 01 09,Stockroom Floor - Aisle 15 Level 01 Position 09
15,01,10,15 01 10,Stockroom Floor - Aisle 15 Level 01 Position 10
15,01,11,15 01 11,Stockroom Floor - Aisle 15 Level 01 Position 11
15,01,12,15 01 12,Stockroom Floor - Aisle 15 Level 01 Position 12
15,01,13,15 01 13,Stockroom Floor - Aisle 15 Level 01 Position 13
15,01,14,15 01 14,Stockroom Floor - Aisle 15 Level 01 Position 14
15,01,15,15 01 15,Stockroom Floor - Aisle 15 Level 01 Position 15
15,01,16,15 01 16,Stockroom Floor - Aisle 15 Level 01 Position 16
15,01,17,15 01 17,Stockroom Floor - Aisle 15 Level 01 Position 17
15,01,18,15 01 18,Stockroom Floor - Aisle 15 Level 01 Position 18
15,02,01,15 02 01,Stockroom Floor - Aisle 15 Level 02 Position 01
15,02,02,15 02 02,Stockroom Floor - Aisle 15 Level 02 Position 02
15,02,03,15 02 03,Stockroom Floor - Aisle 15 Level 02 Position 03
15,02,04,15 02 04,Stockroom Floor - Aisle 15 Level 02 Position 04
15,02,05,15 02 05,Stockroom Floor - Aisle 15 Level 02 Position 05
15,02,06,15 02 06,Stockroom Floor - Aisle 15 Level 02 Position 06
15,02,07,15 02 07,Stockroom Floor - Aisle 15 Level 02 Position 07
15,02,08,15 02 08,Stockroom Floor - Aisle 15 Level 02 Position 08
15,02,09,15 02 09,Stockroom Floor - Aisle 15 Level 02 Position 09
15,02,10,15 02 10,Stockroom Floor - Aisle 15 Level 02 Position 10
15,02,11,15 02 11,Stockroom Floor - Aisle 15 Level 02 Position 11
15,02,12,15 02 12,Stockroom Floor - Aisle 15 Level 02 Position 12
15,02,13,15 02 13,Stockroom Floor - Aisle 15 Level 02 Position 13
15,02,14,15 02 14,Stockroom Floor - Aisle 15 Level 02 Position 14
15,02,15,15 02 15,Stockroom Floor - Aisle 15 Level 02 Position 15
15,02,16,15 02 16,Stockroom Floor - Aisle 15 Level 02 Position 16
15,02,17,15 02 17,Stockroom Floor - Aisle 15 Level 02 Position 17
15,02,18,15 02 18,Stockroom Floor - Aisle 15 Level 02 Position 18
15,03,01,15 03 01,Stockroom Floor - Aisle 15 Level 03 Position 01
15,03,02,15 03 02,Stockroom Floor - Aisle 15 Level 03 Position 02
15,03,03,15 03 03,Stockroom Floor - Aisle 15 Level 03 Position 03
15,03,04,15 03 04,Stockroom Floor - Aisle 15 Level 03 Position 04
15,03,05,15 03 05,Stockroom Floor - Aisle 15 Level 03 Position 05
15,03,06,15 03 06,Stockroom Floor - Aisle 15 Level 03 Position 06
15,03,07,15 03 07,Stockroom Floor - Aisle 15 Level 03 Position 07
15,03,08,15 03 08,Stockroom Floor - Aisle 15 Level 03 Position 08
15,03,09,15 03 09,Stockroom Floor - Aisle 15 Level 03 Position 09
15,03,10,15 03 10,Stockroom Floor - Aisle 15 Level 03 Position 10
15,03,11,15 03 11,Stockroom Floor - Aisle 15 Level 03 Position 11
15,03,12,15 03 12,Stockroom Floor - Aisle 15 Level 03 Position 12
15,03,13,15 03 13,Stockroom Floor - Aisle 15 Level 03 Position 13
15,03,14,15 03 14,Stockroom Floor - Aisle 15 Level 03 Position 14
15,03,15,15 03 15,Stockroom Floor - Aisle 15 Level 03 Position 15
15,03,16,15 03 16,Stockroom Floor - Aisle 15 Level 03 Position 16
15,03,17,15 03 17,Stockroom Floor - Aisle 15 Level 03 Position 17
15,03,18,15 03 18,Stockroom Floor - Aisle 15 Level 03 Position 18
15,04,01,15 04 01,Stockroom Floor - Aisle 15 Level 04 Position 01
15,04,02,15 04 02,Stockroom Floor - Aisle 15 Level 04 Position 02
15,04,03,15 04 03,Stockroom Floor - Aisle 15 Level 04 Position 03
15,04,04,15 04 04,Stockroom Floor - Aisle 15 Level 04 Position 04
15,04,05,15 04 05,Stockroom Floor - Aisle 15 Level 04 Position 05
15,04,06,15 04 06,Stockroom Floor - Aisle 15 Level 04 Position 06
15,04,07,15 04 07,Stockroom Floor - Aisle 15 Level 04 Position 07
15,04,08,15 04 08,Stockroom Floor - Aisle 15 Level 04 Position 08
15,04,09,15 04 09,Stockroom Floor - Aisle 15 Level 04 Position 09
15,04,10,15 04 10,Stockroom Floor - Aisle 15 Level 04 Position 10
15,04,11,15 04 11,Stockroom Floor - Aisle 15 Level 04 Position 11
15,04,12,15 04 12,Stockroom Floor - Aisle 15 Level 04 Position 12
15,04,13,15 04 13,Stockroom Floor - Aisle 15 Level 04 Position 13
15,04,14,15 04 14,Stockroom Floor - Aisle 15 Level 04 Position 14
15,04,15,15 04 15,Stockroom Floor - Aisle 15 Level 04 Position 15
15,04,16,15 04 16,Stockroom Floor - Aisle 15 Level 04 Position 16
15,04,17,15 04 17,Stockroom Floor - Aisle 15 Level 04 Position 17
15,04,18,15 04 18,Stockroom Floor - Aisle 15 Level 04 Position 18
